date | value
2018-07-21 | 681
2018-07-24 | 878.89
2018-07-27 | 468
2018-07-30 | 161.99
2018-08-02 | 48
2018-08-05 | 596.80
2018-08-08 | 346
2018-08-11 | 233.74
2018-08-14 | 268
2018-08-17 | 632.31
2018-08-20 | 957
2018-08-23 | 712.02
2018-08-26 | 72
2018-08-29 | 173.95
2018-09-01 | 93
2018-09-04 | 475.04
2018-09-07 | 572
2018-09-10 | 61.77
2018-09-13 | 253
2018-09-16 | 842.92
2018-09-19 | 843
2018-09-22 | 184.07
2018-09-25 | 387
2018-09-28 | 674.14
2018-10-01 | 377
2018-10-04 | 910.51
2018-10-07 | 434
2018-10-10 | 89.37
2018-10-13 | 301
2018-10-16 | 287.40
2018-10-19 | 687
2018-10-22 | 135.65
2018-10-25 | 634
2018-10-28 | 438.10
2018-10-30 | 663
2018-11-02 | 407.16
2018-11-05 | 968
2018-11-08 | 266.85
2018-11-11 | 40
2018-11-14 | 675.37
2018-11-17 | 881
2018-11-20 | 407.56
2018-11-23 | 386
2018-11-26 | 280.82
2018-11-29 | 50
2018-12-02 | 100.66
2018-12-05 | 854
2018-12-08 | 179.32
2018-12-11 | 544
2018-12-14 | 508.47
2018-12-17 | 796
2018-12-20 | 288.87
2018-12-23 | 965
2018-12-26 | 836.85
2018-12-29 | 200
2019-01-01 | 988.31
2019-01-04 | 225
2019-01-07 | 520.64
2019-01-10 | 207
2019-01-13 | 416.17
2019-01-16 | 470
2019-01-19 | 640.58
2019-01-22 | 500
2019-01-25 | 531.91
2019-01-28 | 315
2019-01-31 | 672.31
2019-02-03 | 269
2019-02-06 | 687.52
2019-02-09 | 912
2019-02-12 | 672.21
2019-02-15 | 549
2019-02-18 | 914.92
2019-02-21 | 532
2019-02-24 | 989.88
2019-02-27 | 164
2019-03-02 | 932.62
2019-03-05 | 274
2019-03-08 | 648.32
2019-03-11 | 242
2019-03-14 | 388.66
2019-03-17 | 241
2019-03-20 | 610.69
2019-03-23 | 208
2019-03-26 | 768.81
2019-03-29 | 29
2019-04-02 | 226.36
2019-04-05 | 469
2019-04-08 | 910.64
2019-04-11 | 638
2019-04-14 | 333.37
2019-04-17 | 511
2019-04-20 | 90.31
2019-04-23 | 2
2019-04-26 | 592.48
2019-04-29 | 10
2019-05-02 | 209.33
2019-05-05 | 158
2019-05-08 | 899.67
2019-05-11 | 610
2019-05-14 | 654.91
2019-05-17 | 720
2019-05-20 | 874.64
2019-05-23 | 454
2019-05-26 | 91.27
2019-05-29 | 702
2019-06-01 | 758.98
2019-06-04 | 230
2019-06-07 | 555.25
2019-06-10 | 972
2019-06-13 | 267.31
2019-06-16 | 402
2019-06-19 | 870.73
2019-06-22 | 522
2019-06-25 | 337.76
2019-06-28 | 590
2019-07-01 | 689.24
2019-07-04 | 555
2019-07-07 | 1000.10
2019-07-10 | 534
2019-07-13 | 161.46
2019-07-16 | 878
2019-07-19 | 40.64
2019-07-22 | 907
2019-07-25 | 485.16
2019-07-28 | 420
2019-07-31 | 502.29
2019-08-03 | 287
2019-08-06 | 467.45
2019-08-09 | 798
2019-08-12 | 510.01
2019-08-15 | 9
2019-08-18 | 498.50
2019-08-21 | 701
2019-08-24 | 439.04
2019-08-27 | 194
2019-08-30 | 229.64
2019-09-02 | 553
2019-09-05 | 881.30
2019-09-08 | 231
2019-09-11 | 671.71
2019-09-14 | 338
2019-09-17 | 453.73
2019-09-20 | 174
2019-09-23 | 305.02
2019-09-26 | 678
2019-09-29 | 55.16
2019-10-02 | 977
2019-10-05 | 325.27
2019-10-08 | 284
2019-10-11 | 766.79
2019-10-14 | 299
2019-10-17 | 60.60
2019-10-20 | 657
2019-10-23 | 226.41
2019-10-26 | 632
2019-10-28 | 209.74
2019-10-31 | 496
2019-11-03 | 10.85
2019-11-06 | 825
2019-11-09 | 515.11
2019-11-12 | 602
2019-11-15 | 174.40
2019-11-18 | 730
2019-11-21 | 161.86
2019-11-24 | 203
2019-11-27 | 926.20
2019-11-30 | 528
2019-12-03 | 223.46
2019-12-06 | 533
2019-12-09 | 77.12
2019-12-12 | 527
2019-12-15 | 206.76
2019-12-18 | 162
2019-12-21 | 788.80
2019-12-24 | 624
2019-12-27 | 857.32
2019-12-30 | 103
2020-01-02 | 850.23
2020-01-05 | 399
2020-01-08 | 156.77
2020-01-11 | 879
2020-01-14 | 716.34
2020-01-17 | 807
2020-01-20 | 649.35
2020-01-23 | 873
2020-01-26 | 253.88
2020-01-29 | 723
2020-02-01 | 20.51
2020-02-04 | 11
2020-02-07 | 217.17
2020-02-10 | 201
2020-02-13 | 168.94
2020-02-16 | 467
2020-02-19 | 292.93
2020-02-22 | 147
2020-02-25 | 812.29
2020-02-28 | 441
2020-03-02 | 618.95
2020-03-05 | 246
2020-03-08 | 101.43
2020-03-11 | 228
2020-03-14 | 641.92
2020-03-17 | 424
2020-03-20 | 537.81
2020-03-23 | 720
2020-03-26 | 241.48
2020-03-30 | 814
2020-04-02 | 981.30
2020-04-05 | 206
2020-04-08 | 110.08
2020-04-11 | 189
2020-04-14 | 467.83
2020-04-17 | 869
2020-04-20 | 475.06
2020-04-23 | 84
2020-04-26 | 62.67
2020-04-29 | 579
2020-05-02 | 408.99
2020-05-05 | 382
2020-05-08 | 981.37
2020-05-11 | 763
2020-05-14 | 100.15
2020-05-17 | 973
2020-05-20 | 788.14
2020-05-23 | 857
2020-05-26 | 698.77
2020-05-29 | 187
2020-06-01 | 562.36
2020-06-04 | 559
2020-06-07 | 514.42
2020-06-10 | 131
2020-06-13 | 518.90
2020-06-16 | 469
2020-06-19 | 699.02
2020-06-22 | 673
2020-06-25 | 761.03
2020-06-28 | 896
2020-07-01 | 720.39
2020-07-04 | 830
2020-07-07 | 487.47
2020-07-10 | 579
2020-07-13 | 353.77
2020-07-16 | 533
2020-07-19 | 189.47
2020-07-22 | 846
2020-07-25 | 221.08
2020-07-28 | 223
2020-07-31 | 163.68
2020-08-03 | 216
2020-08-06 | 291.12
2020-08-09 | 596
2020-08-12 | 858.88
2020-08-15 | 826
2020-08-18 | 192.64
2020-08-21 | 822
2020-08-24 | 465.55
2020-08-27 | 91
2020-08-30 | 613.46
2020-09-02 | 1000
2020-09-05 | 435.72
2020-09-08 | 957
2020-09-11 | 559.70
2020-09-14 | 172
2020-09-17 | 511.43
2020-09-20 | 677
2020-09-23 | 735.39
2020-09-26 | 211
2020-09-29 | 234.76
2020-10-02 | 579
2020-10-05 | 862.92
2020-10-08 | 56
2020-10-11 | 858.32
2020-10-14 | 406
2020-10-17 | 309.71
2020-10-20 | 279
2020-10-23 | 998.52
2020-10-25 | 911
2020-10-28 | 38.10
2020-10-31 | 724
2020-11-03 | 414.36
2020-11-06 | 89
2020-11-09 | 459.12
2020-11-12 | 0
2020-11-15 | 792.78
2020-11-18 | 58
2020-11-21 | 500.68
2020-11-24 | 963
2020-11-27 | 462.92
2020-11-30 | 890
2020-12-03 | 854.48
2020-12-06 | 895
2020-12-09 | 593.21
2020-12-12 | 861
2020-12-15 | 129.57
2020-12-18 | 23
2020-12-21 | 498.66
2020-12-24 | 471
2020-12-27 | 352.81
2020-12-30 | 157
2021-01-02 | 354.10
2021-01-05 | 289
2021-01-08 | 85.64
2021-01-11 | 696
2021-01-14 | 809.72
2021-01-17 | 136
2021-01-20 | 243.38
2021-01-23 | 994
2021-01-26 | 652.86
2021-01-29 | 371
2021-02-01 | 531.31
2021-02-04 | 75
2021-02-07 | 1.54
2021-02-10 | 93
2021-02-13 | 316.53
2021-02-16 | 4
2021-02-19 | 195.76
2021-02-22 | 863
2021-02-25 | 678.04
2021-02-28 | 786
2021-03-03 | 901.40
2021-03-06 | 157
2021-03-09 | 283.01
2021-03-12 | 520
2021-03-15 | 795.12
2021-03-18 | 144
2021-03-21 | 773.68
2021-03-24 | 718
2021-03-27 | 530.42
2021-03-31 | 517
2021-04-03 | 292.18
2021-04-06 | 49
2021-04-09 | 590.81
2021-04-12 | 63
2021-04-15 | 890.95
2021-04-18 | 550
2021-04-21 | 102.57
2021-04-24 | 391
2021-04-27 | 541.21
2021-04-30 | 264
2021-05-03 | 596.84
2021-05-06 | 685
2021-05-09 | 683.62
2021-05-12 | 595
2021-05-15 | 215.10
2021-05-18 | 693
2021-05-21 | 256.04
2021-05-24 | 154
2021-05-27 | 913.43
2021-05-30 | 194
2021-06-02 | 455.97
2021-06-05 | 757
2021-06-08 | 699.38
2021-06-11 | 25
2021-06-14 | 516.02
2021-06-17 | 293
2021-06-20 | 128.77
2021-06-23 | 401
2021-06-26 | 187.81
2021-06-29 | 632
2021-07-02 | 792.03
2021-07-05 | 634
2021-07-08 | 697.19
2021-07-11 | 346
2021-07-14 | 764.41
2021-07-17 | 589
2021-07-20 | 398.96
2021-07-23 | 39
2021-07-26 | 610.75
2021-07-29 | 136
2021-08-01 | 535.75
2021-08-04 | 257
2021-08-07 | 800.97
2021-08-10 | 659
2021-08-13 | 968.07
2021-08-16 | 517
2021-08-19 | 74.47
2021-08-22 | 149
2021-08-25 | 53.27
2021-08-28 | 752
2021-08-31 | 629.58
2021-09-03 | 818
2021-09-06 | 300.22
2021-09-09 | 569
2021-09-12 | 763.51
2021-09-15 | 145
2021-09-18 | 871.54
2021-09-21 | 80
2021-09-24 | 971.34
2021-09-27 | 262
2021-09-30 | 461.47
2021-10-03 | 691
2021-10-06 | 354.91
2021-10-09 | 145
2021-10-12 | 633.13
2021-10-15 | 161
2021-10-18 | 585.60
2021-10-21 | 587
2021-10-24 | 160.62
2021-10-27 | 478
2021-10-30 | 629.22
2021-11-01 | 92
2021-11-04 | 582.14
2021-11-07 | 524
2021-11-10 | 855.85
2021-11-13 | 893
2021-11-16 | 711.61
2021-11-19 | 329
2021-11-22 | 199.29
2021-11-25 | 998
2021-11-28 | 503.72
2021-12-01 | 724
2021-12-04 | 526.70
2021-12-07 | 821
2021-12-10 | 353.29
2021-12-13 | 541
2021-12-16 | 420.93
2021-12-19 | 223
2021-12-22 | 575.20
2021-12-25 | 131
2021-12-28 | 211.92
2021-12-31 | 972
2022-01-03 | 559.73
2022-01-06 | 839
2022-01-09 | 169.46
2022-01-12 | 480
2022-01-15 | 851.00
2022-01-18 | 263
2022-01-21 | 435.83
2022-01-24 | 447
2022-01-27 | 195.14
2022-01-30 | 602
2022-02-02 | 442.48
2022-02-05 | 399
2022-02-08 | 394.73
2022-02-11 | 54
2022-02-14 | 316.39
2022-02-17 | 478
2022-02-20 | 697.96
2022-02-23 | 354
2022-02-26 | 941.46
2022-03-01 | 774
2022-03-04 | 317.02
2022-03-07 | 740
2022-03-10 | 187.69
2022-03-13 | 366
2022-03-16 | 592.98
2022-03-19 | 267
2022-03-22 | 113.89
2022-03-25 | 815
2022-03-29 | 223.06
2022-03-30 | 65
